0.1 Cubic1: 1.92864
0.1 Cubic2: 1.44864
0.1 Cubic3: 1.44864
0.1 Bbr4: 1.44864
0.1 Bbr5: 1.44864
0.1 Bbr6: 1.44864
0.1 Bbr7: 1.44864
0.2 Cubic1: 0.72
0.2 Cubic2: 0.96
0.2 Cubic3: 0.96
0.2 Bbr4: 0.96
0.2 Bbr5: 0.96
0.2 Bbr6: 0.96
0.2 Bbr7: 0.96
0.3 Cubic1: 0.24
0.3 Cubic2: 0.48
0.3 Cubic3: 0.48
0.3 Bbr4: 0.48
0.3 Bbr5: 0.48
0.3 Bbr6: 0.48
0.3 Bbr7: 0.48
0.4 Cubic1: 0.48
0.4 Cubic2: 0.48
0.4 Cubic3: 0.48
0.4 Bbr4: 0.48
0.4 Bbr5: 0.48
0.4 Bbr6: 0.48
0.4 Bbr7: 0.48
0.5 Cubic1: 0.36
0.5 Cubic2: 0.36
0.5 Cubic3: 0.36
0.5 Bbr4: 0.36
0.5 Bbr5: 0.36
0.5 Bbr6: 0.36
0.5 Bbr7: 0.36
0.6 Cubic1: 0.24
0.6 Cubic2: 0.24
0.6 Cubic3: 0.24
0.6 Bbr4: 0.24
0.6 Bbr5: 0.24
0.6 Bbr6: 0.24
0.6 Bbr7: 0.24
0.7 Cubic1: 0
0.7 Cubic2: 0
0.7 Cubic3: 0
0.7 Bbr4: 0
0.7 Bbr5: 0
0.7 Bbr6: 0
0.7 Bbr7: 0
0.8 Cubic1: 0
0.8 Cubic2: 0
0.8 Cubic3: 0
0.8 Bbr4: 0
0.8 Bbr5: 0
0.8 Bbr6: 0
0.8 Bbr7: 0
0.9 Cubic1: 0
0.9 Cubic2: 0
0.9 Cubic3: 0
0.9 Bbr4: 0
0.9 Bbr5: 0
0.9 Bbr6: 0
0.9 Bbr7: 0
1 Cubic1: 0
1 Cubic2: 0
1 Cubic3: 0
1 Bbr4: 0
1 Bbr5: 0
1 Bbr6: 0
1 Bbr7: 0
